gu,score_FA_B,score_FA_D,AHP_FA_B_rank,AHP_FA_D_rank
강남구,0.959946548,0.696594474,22,22
강동구,0.546572966,0.602336167,19,21
강북구,-0.749362596,-0.218786236,4,7
강서구,1.206997712,1.160736441,24,24
관악구,0.222944233,0.414555083,17,18
광진구,-0.241324297,-0.195919133,9,8
구로구,-0.125161074,-0.154060935,11,10
금천구,-1.416468627,-1.715245981,3,2
노원구,0.842616854,0.575147024,21,20
도봉구,-0.110713187,-0.151725515,12,11
동대문구,-0.401181018,-0.195414654,7,9
동작구,-0.126195455,-0.087900848,10,13
마포구,1.066378731,1.021270526,23,23
서대문구,-0.64258102,-0.664869428,5,4
서초구,0.088227636,-0.047944912,16,14
성동구,-0.477473955,-0.628649055,6,5
성북구,-0.051176374,0.291569178,14,16
송파구,2.085261158,1.784894103,25,25
양천구,0.689829411,0.346771431,20,17
영등포구,-0.097891244,-0.132520997,13,12
용산구,-0.389405569,-0.394517599,8,6
은평구,0.273594896,0.506385076,18,19
종로구,-1.800019991,-1.659113343,1,3
중구,-1.662456419,-2.150920555,2,1
중랑구,-0.039062591,0.080883471,15,15
