gu,FA_B_MEANSHIFT,new_df_human_MR1,new_df_anim_MR1,new_df_anim_MR2,new_df_anim_MR3,infra.1,score,rank
강남구,1,1.039336676,-0.298148134,-1.041039718,1.613011235,2.872966831,4.18612689,25
강동구,1,0.538841468,1.447077264,-0.155845218,0.746439994,0.994392181,3.570905689,23
강북구,0,-0.54934058,-0.280252324,0.102764625,-1.079333202,-0.758944158,-2.565105639,4
강서구,1,1.604944266,-0.045401273,-1.526938503,1.418063576,0.806534716,2.257202782,20
관악구,2,0.843146958,2.511982994,-1.519139152,-0.94679104,-0.383229229,0.505970531,17
광진구,0,-0.311314707,-0.276527446,0.173567394,-0.744243163,-0.070133454,-1.228651376,8
구로구,0,0.2864756,-0.99778109,-0.334457621,-0.003769729,-0.508467539,-1.558000379,6
금천구,0,-1.164938918,-0.910975815,1.222707152,-0.678621477,-1.259897398,-2.791726456,2
노원구,1,1.071142984,-0.265293619,-0.352190792,2.118856565,0.430819786,3.003334924,21
도봉구,0,-0.435373664,-0.389184753,0.387682997,0.148507064,-0.696325003,-0.984693359,12
동대문구,0,-0.287436948,-0.363852782,0.715902802,-0.681330588,-0.571086694,-1.18780421,10
동작구,0,0.037501795,0.134186668,-0.157935921,-0.467113115,-0.758944158,-1.212304731,9
마포구,2,-0.13354773,3.009277465,-0.197437162,0.250901502,0.618677251,3.547871326,22
서대문구,0,-0.57350815,-0.702463748,0.321024114,-0.534189789,-0.696325003,-2.185462576,5
서초구,1,0.158006407,-0.708744658,-0.044984235,0.913957869,0.994392181,1.312627564,18
성동구,0,-0.778600025,-0.566381709,1.342882608,-0.109308833,-0.320610074,-0.432018033,15
성북구,0,0.460169279,-0.386422702,-0.559138589,-0.863665338,-0.132752609,-1.481809959,7
송파구,1,2.103954462,-0.195164242,-1.826345218,1.978448066,1.996298661,4.057191729,24
양천구,1,0.453306324,0.720653482,-0.451564457,0.791213556,0.618677251,2.132286156,19
영등포구,0,-0.062564399,-0.445290062,0.898187253,-0.017428609,-0.132752609,0.240151574,16
용산구,0,-1.264260803,0.725313167,0.688945165,-0.931597102,-0.383229229,-1.164828802,11
은평구,1,0.830139823,-0.256651925,-1.216844855,-0.02718704,0.180343166,-0.490200831,14
종로구,0,-1.898274654,-0.547099447,1.333116939,-1.491626949,-1.385135708,-3.989019819,1
중구,0,-2.086432653,-0.988871427,2.331607132,-0.711018025,-1.197278243,-2.651993216,3
중랑구,0,0.118627189,0.076016116,-0.13452674,-0.692175429,-0.257990919,-0.890049783,13
